Date,MarketPrice,MinersRevenue,TradeVolume,TransctionFee,TransactionPerSec,Return
12/5/2019,7192.85,13451289.42,142535673.5,0.547059845,2.8,0.028239154
12/6/2019,7395.97,13603961.75,85470713.75,0.58727027,2.183333333,0.02044627
12/7/2019,7547.19,15286888.49,77922849.95,0.476905662,3.75,-0.005612685
12/8/2019,7504.83,13969510.4,34352533.79,0.389803592,2.616666667,0.002339826
12/9/2019,7522.39,13970881.97,32114286.49,0.518708303,3.433333333,-0.02458926
12/10/2019,7337.42,13646564.11,108414489.5,0.529059361,3,-0.015899322
12/11/2019,7220.76,12062018.83,66161513.24,0.608888586,1.866666667,-0.002555133
12/12/2019,7202.31,12076200.2,53833378,0.51875095,4.5,-0.001825803
12/13/2019,7189.16,14060284.47,75073234.65,0.500657401,4.033333333,0.008722855
12/14/2019,7251.87,13824044.96,52683167.62,0.371730535,3.783333333,-0.025390692
12/15/2019,7067.74,11126047.87,39393109.05,0.55024104,2.3,0.006140577
12/16/2019,7111.14,14132643.71,35264356.59,0.476697541,3.366666667,-0.032568618
12/17/2019,6879.54,12121833.95,91191811.27,0.486689921,3.35,-0.038871785
12/18/2019,6612.12,11695182.78,106173720.2,0.589118171,2.95,0.10165726
12/19/2019,7284.29,14591652.02,208624105.2,0.638353333,2.716666667,-0.018317502
12/20/2019,7150.86,14124384.46,92465911.44,0.547570643,3.683333333,0.005497241
12/21/2019,7190.17,15844785.32,55147309.67,0.381560431,3.983333333,-0.00653253
12/22/2019,7143.2,15337832.97,25368503.34,0.328549733,2.1,0.051966906
12/23/2019,7514.41,13758030.76,72767893.27,0.465031464,3.766666667,-0.025594824
12/24/2019,7322.08,11525831.91,121983509.7,0.443051384,2.25,-0.009749962
12/25/2019,7250.69,11634910.29,76336714.46,0.387049228,2.7,-0.007995101
12/26/2019,7192.72,15752637.61,39255636.02,0.481317785,2.783333333,0.000233569
12/27/2019,7194.4,13514433.19,59760787.21,0.379063082,3.166666667,0.006884521
12/28/2019,7243.93,13698700.74,71840951.38,0.337749504,4.75,0.007887983
12/29/2019,7301.07,14317659.02,36039614.74,0.330879763,3.016666667,0.011544883
